yyyy,mo,dd,hh,mm,WT_E,WT_N,WT_W,WT_S
2010,5,15,17,0,-0.188263253,-999,-0.214300766,-0.127735639
2010,5,15,18,0,-0.18869606,-999,-0.215256903,-0.129200346
2010,5,15,19,0,-0.189601729,-999,-0.215975431,-0.130336045
2010,5,15,20,0,-0.190365526,-999,-0.216693951,-0.131330734
2010,5,15,21,0,-0.190987455,-999,-0.217174869,-0.132043424
2010,5,15,22,0,-0.191372945,-999,-0.217465709,-0.132568115
2010,5,15,23,0,-0.191711144,-999,-0.217709026,-0.132904811
2010,5,16,0,0,-0.191576488,-999,-0.217857306,-0.132868351
2010,5,16,1,0,-0.191772827,-999,-0.218148135,-0.13320222
2010,5,16,2,0,-0.191780025,-999,-0.218248893,-0.133350921
2010,5,16,3,0,-0.19230735,-999,-0.218254617,-0.133546616
2010,5,16,4,0,-0.192125409,-999,-0.218402889,-0.133648318
2010,5,16,5,0,-0.192274456,-999,-0.218456128,-0.133844008
2010,5,16,6,0,-0.192470784,-999,-0.218604397,-0.134180678
2010,5,16,7,0,-0.192761675,-999,-0.218847696,-0.13447035
2010,5,16,8,0,-0.193147127,-999,-0.218900931,-0.134854004
2010,5,16,9,0,-0.193627138,-999,-0.219239255,-0.13533164
2010,5,16,10,0,-0.194248987,-999,-0.219720118,-0.136185212
2010,5,16,11,0,-0.195059955,-999,-0.220486061,-0.137414714
2010,5,16,12,0,-0.196201879,-999,-0.221442051,-0.138879159
2010,5,16,13,0,-0.19748563,-999,-0.222303001,-0.140343582
2010,5,16,14,0,-0.19853296,-999,-0.223211453,-0.141901967
2010,5,16,15,0,-0.199202034,-999,-0.224024868,-0.143366347
2010,5,16,16,0,-0.199965659,-999,-0.22479076,-0.144736724
2010,5,16,17,0,-0.20101295,-999,-0.225651668,-0.14606009
2010,5,16,18,0,-0.202107506,-999,-0.226465052,-0.147383436
2010,5,16,19,0,-0.203296604,-999,-0.227278426,-0.148518804
2010,5,16,20,0,-0.203776508,-999,-0.227854232,-0.149513187
2010,5,16,21,0,-0.20439824,-999,-0.228382519,-0.15022562
2010,5,16,22,0,-0.204878129,-999,-0.228768267,-0.15065611
2010,5,16,23,0,-0.20521618,-999,-0.229011477,-0.150757674
2010,5,17,0,0,-0.205081453,-999,-0.229159665,-0.150724175
2010,5,17,1,0,-0.205041283,-999,-0.229022789,-0.151007786
2010,5,17,2,0,-0.204953836,-999,-0.229075955,-0.150968383
2010,5,17,3,0,-0.205386429,-999,-0.229034101,-0.150741033
