yyyy,mo,dd,hh,mm,period,start_date,ICOS_precip,I_av_mm,I_CI_min_mm,I_CI_max_mm,I_SE_min_mm,I_SE_max_mm
2016,7,31,18,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,18,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,19,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,19,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,20,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,20,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,21,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,21,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,22,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,22,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,23,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,23,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,0,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,0,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,1,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,1,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,2,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,2,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,3,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,3,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,4,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,4,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,5,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,5,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,6,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,6,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,7,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,7,30,14,29.7.2016 15:00,0,0,0,0,0,0
