yyyy,mo,dd,hh,mm,SH,SH_flag,SH_gapfilled,SH_gapfilled_flag,LE,LE_flag,LE_gapfilled,LE_gapfilled_flag,NEE,NEE_flag,NEE_gapfilled,NEE_gapfilled_flag
2014,1,3,5,30,0.001065,0,0.001065,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,6,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,6,30,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,7,0,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,7,30,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,8,0,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,8,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,9,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,9,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,10,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,10,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,11,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,11,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,12,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,12,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,13,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,13,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,14,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,14,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,15,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,15,30,NaN,1,-3.119982,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,16,0,NaN,1,-2.833688,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,16,30,NaN,1,-2.7551669999999997,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,17,0,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,17,30,NaN,1,-2.117449,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,18,0,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,18,30,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,19,0,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,19,30,NaN,1,-2.215512,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,20,0,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,20,30,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,21,0,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,21,30,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,22,0,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,22,30,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,23,0,NaN,1,-2.833688,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,23,30,NaN,1,-3.0569740000000003,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,0,0,NaN,1,-3.119982,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,0,30,NaN,1,-2.833688,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,1,0,NaN,1,-2.833688,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,1,30,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,2,0,NaN,1,-2.7551669999999997,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,2,30,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,3,0,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,3,30,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,4,0,NaN,1,-2.7551669999999997,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,4,30,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,5,0,NaN,1,-2.833688,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,5,30,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,6,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,6,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,7,0,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,7,30,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,8,0,NaN,1,-3.509315,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,8,30,NaN,1,-3.51654,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,9,0,NaN,1,-3.51654,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,9,30,NaN,1,-3.51654,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,10,0,NaN,1,-3.51654,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,10,30,NaN,1,-3.51654,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,11,0,NaN,1,-3.51654,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,11,30,NaN,1,-3.445897,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,12,0,NaN,1,-3.509315,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,12,30,NaN,1,-3.509315,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,13,0,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,13,30,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,14,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,14,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,15,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,15,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,16,0,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,16,30,NaN,1,-3.119982,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,17,0,NaN,1,-2.833688,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,17,30,NaN,1,-2.833688,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,18,0,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,18,30,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,19,0,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,19,30,NaN,1,-2.7551669999999997,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,20,0,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,20,30,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,21,0,NaN,1,-2.28946,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,21,30,NaN,1,-2.28946,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,22,0,NaN,1,-2.28946,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,22,30,NaN,1,-2.28946,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,23,0,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,4,23,30,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,0,0,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,0,30,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,1,0,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,1,30,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,2,0,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,2,30,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,3,0,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,3,30,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,4,0,NaN,1,-2.7551669999999997,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,4,30,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,5,0,NaN,1,-2.833688,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,5,30,NaN,1,-3.12148,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,6,0,NaN,1,-3.0569740000000003,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,6,30,NaN,1,-3.119982,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,7,0,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,7,30,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,8,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,8,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,9,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,9,30,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,10,0,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,10,30,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,11,0,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,11,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,12,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,12,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,13,0,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,13,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,14,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,14,30,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,15,0,NaN,1,-3.509315,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,15,30,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,16,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,16,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,17,0,NaN,1,-3.479346,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,17,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,18,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,18,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,19,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,19,30,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,20,0,NaN,1,-3.119982,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,20,30,NaN,1,-2.752406,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,21,0,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,21,30,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,22,0,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,22,30,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,23,0,NaN,1,-2.215512,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,5,23,30,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,0,0,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,0,30,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,1,0,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,1,30,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,2,0,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,2,30,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,3,0,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,3,30,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,4,0,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,4,30,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,5,0,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,5,30,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,6,0,NaN,1,-2.081096,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,6,30,NaN,1,-2.117449,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,7,0,NaN,1,-2.373481,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,7,30,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,8,0,NaN,1,-2.6459099999999998,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,8,30,NaN,1,-2.7551669999999997,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,9,0,NaN,1,-2.833688,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,9,30,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,10,0,NaN,1,-3.200652,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,10,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,11,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,11,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,12,0,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,6,12,30,NaN,1,-3.3301239999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
